total_games,threshold,k,hit_rate
100,nan,1,0.16589755422242733
100,nan,5,0.4734656206737425
100,nan,10,0.6732810336871251
100,nan,20,0.8488694047069681
100,600.0,1,0.16751269035532995
100,600.0,5,0.39570835256114445
100,600.0,10,0.5856022150438394
100,600.0,20,0.8131056760498385
100,1200.0,1,0.17351176742039687
100,1200.0,5,0.44347023534840796
100,1200.0,10,0.6347485002307337
100,1200.0,20,0.8507152745731426
100,1800.0,1,0.15851407475772958
100,1800.0,5,0.43447161975080756
100,1800.0,10,0.629672358098754
100,1800.0,20,0.8398707891093677
1000,nan,1,0.16151361329026304
1000,nan,5,0.5288417166589755
1000,nan,10,0.682741116751269
1000,nan,20,0.8024919243193355
1000,600.0,1,0.3523304107060452
1000,600.0,5,0.660359944623904
1000,600.0,10,0.7708814028610983
1000,600.0,20,0.8493308721735118
1000,1200.0,1,0.31056760498384867
1000,1200.0,5,0.6174434702353484
1000,1200.0,10,0.7339640055376097
1000,1200.0,20,0.8327180433779419
1000,1800.0,1,0.2824180895246885
1000,1800.0,5,0.5911398246423627
1000,1800.0,10,0.7226580526072912
1000,1800.0,20,0.8158744808491002
