total_games,threshold,k,ndcg
100,nan,1,0.1661659348278253
100,nan,5,0.14090312868892454
100,nan,10,0.13373344653746946
100,nan,20,0.13748996622770548
100,150.0,1,0.18650335105153687
100,150.0,5,0.1269071186924786
100,150.0,10,0.11396008563563935
100,150.0,20,0.1236860345584826
100,300.0,1,0.17032586087358448
100,300.0,5,0.11995416195911768
100,300.0,10,0.11004190696356576
100,300.0,20,0.12260565072807207
100,600.0,1,0.16778368384562053
100,600.0,5,0.11768371521651196
100,600.0,10,0.10924106741131269
100,600.0,20,0.12070111033911092
100,1200.0,1,0.17379246591171713
100,1200.0,5,0.13190931519474627
100,1200.0,10,0.12147313024028197
100,1200.0,20,0.13211066003380567
100,1800.0,1,0.1587705107464756
100,1800.0,5,0.1253473392748419
100,1800.0,10,0.11788623941807573
100,1800.0,20,0.12792225685718145
1000,nan,1,0.1819441237589471
1000,nan,5,0.17109857899581943
1000,nan,10,0.15885816707711756
1000,nan,20,0.14591022192655909
1000,150.0,1,0.38559224197644887
1000,150.0,5,0.318372820095081
1000,150.0,10,0.2825136458735204
1000,150.0,20,0.24798378879819724
1000,300.0,1,0.3883629646732856
1000,300.0,5,0.3074640006620987
1000,300.0,10,0.27183690264720106
1000,300.0,20,0.23688960472357704
1000,600.0,1,0.3728930962826137
1000,600.0,5,0.28690261334181405
1000,600.0,10,0.2534472100706679
1000,600.0,20,0.22108765909433994
1000,1200.0,1,0.3322558300623413
1000,1200.0,5,0.25556690824495915
1000,1200.0,10,0.2245227025472933
1000,1200.0,20,0.19745326403761673
1000,1800.0,1,0.3047794966520434
1000,1800.0,5,0.23427310847920696
1000,1800.0,10,0.20854034767519544
1000,1800.0,20,0.18227624897676747
