total_games,threshold,k,hit_rate
100,nan,1,0.41232118135671436
100,nan,5,0.744116289801569
100,nan,10,0.8724042455006922
100,nan,20,0.9432395016151361
100,150.0,1,0.5655283802491924
100,150.0,5,0.8343331795108445
100,150.0,10,0.9178587909552377
100,150.0,20,0.9635440701430549
100,300.0,1,0.5634517766497462
100,300.0,5,0.8331795108444855
100,300.0,10,0.9141670512228888
100,300.0,20,0.9619289340101523
100,600.0,1,0.550761421319797
100,600.0,5,0.8246423627134287
100,600.0,10,0.9077065066912783
100,600.0,20,0.9598523304107061
100,1200.0,1,0.5267651130595293
100,1200.0,5,0.820719889247808
100,1200.0,10,0.903322565759114
100,1200.0,20,0.9623904014766959
100,1800.0,1,0.5066912782648824
100,1800.0,5,0.8179510844485464
100,1800.0,10,0.9047069681587449
100,1800.0,20,0.9619289340101523
1000,nan,1,0.3292570373788648
1000,nan,5,0.6359021688970927
1000,nan,10,0.7436548223350253
1000,nan,20,0.8511767420396862
1000,150.0,1,0.5796031379787725
1000,150.0,5,0.8500230733733272
1000,150.0,10,0.928011075219197
1000,150.0,20,0.9640055376095985
1000,300.0,1,0.6112136594370097
1000,300.0,5,0.8555606829718505
1000,300.0,10,0.9287032764190125
1000,300.0,20,0.9635440701430549
1000,600.0,1,0.6206737425011537
1000,600.0,5,0.8587909552376557
1000,600.0,10,0.9277803414859253
1000,600.0,20,0.9628518689432395
1000,1200.0,1,0.6091370558375635
1000,1200.0,5,0.8532533456391325
1000,1200.0,10,0.9227041993539455
1000,1200.0,20,0.9635440701430549
1000,1800.0,1,0.5652976465159206
1000,1800.0,5,0.8523304107060452
1000,1800.0,10,0.9208583294877711
1000,1800.0,20,0.9616982002768805
