total_games,threshold,k,ndcg
100,nan,1,0.41298821354287035
100,nan,5,0.3258089439129916
100,nan,10,0.2956079032870368
100,nan,20,0.2605475771016692
100,600.0,1,0.5516524150681765
100,600.0,5,0.4072569527813451
100,600.0,10,0.3516875933180941
100,600.0,20,0.305286343477751
100,1200.0,1,0.5276172868037902
100,1200.0,5,0.3960435697186014
100,1200.0,10,0.34515429788449353
100,1200.0,20,0.2986649544433225
100,1800.0,1,0.5075109775826208
100,1800.0,5,0.38740527668375574
100,1800.0,10,0.34078541467254725
100,1800.0,20,0.2938309458099726
1000,nan,1,0.3294851073655045
1000,nan,5,0.2632702997900798
1000,nan,10,0.23233804760164167
1000,nan,20,0.2019556559985385
1000,600.0,1,0.6211036712075733
1000,600.0,5,0.4613991645476912
1000,600.0,10,0.3970585647428687
1000,600.0,20,0.33959455403674277
1000,1200.0,1,0.6095589933040868
1000,1200.0,5,0.44853927779624014
1000,1200.0,10,0.3867664899670572
1000,1200.0,20,0.33612538574888573
1000,1800.0,1,0.5659201108289079
1000,1800.0,5,0.43603797872636485
1000,1800.0,10,0.37536591184430534
1000,1800.0,20,0.3290891560587959
