appid,name,player_count,result
730,Counter-Strike 2,682378.0,1
570,Dota 2,284438.0,1
578080,PUBG: BATTLEGROUNDS,207046.0,1
252490,Rust,100213.0,1
359550,Tom Clancy's Rainbow Six® Siege X,82809.0,1
431960,Wallpaper Engine,73971.0,1
413150,Stardew Valley,71635.0,1
218,Source SDK Base 2007,67311.0,1
381210,Dead by Daylight,65430.0,1
440,Team Fortress 2,49149.0,1
251570,7 Days to Die,44835.0,1
238960,Path of Exile,44034.0,1
230410,Warframe,43941.0,1
271590,Grand Theft Auto V Legacy,43727.0,1
236390,War Thunder,41811.0,1
438100,VRChat,39154.0,1
553850,HELLDIVERS™ 2,37585.0,1
550,Left 4 Dead 2,33725.0,1
480,Spacewar,29767.0,1
221100,DayZ,28988.0,1
105600,Terraria,26304.0,1
289070,Sid Meier's Civilization VI,25747.0,1
394360,Hearts of Iron IV,25591.0,1
294100,RimWorld,23583.0,1
322330,Don't Starve Together,22697.0,1
108600,Project Zomboid,21425.0,1
322170,Geometry Dash,20771.0,1
346110,ARK: Survival Evolved,20150.0,1
218620,PAYDAY 2,19317.0,1
252950,Rocket League,17699.0,1
261550,Mount & Blade II: Bannerlord,17248.0,1
39210,FINAL FANTASY XIV Online,16634.0,1
4000,Garry's Mod,16337.0,1
250900,The Binding of Isaac: Rebirth,15880.0,1
513710,SCUM,15587.0,1
489830,The Elder Scrolls V: Skyrim Special Edition,15191.0,1
582660,Black Desert,15180.0,1
526870,Satisfactory,14677.0,1
646570,Slay the Spire,13985.0,1
240,Counter-Strike: Source,13767.0,1
284160,BeamNG.drive,13329.0,1
427520,Factorio,12093.0,1
304930,Unturned,12030.0,1
291550,Brawlhalla,11678.0,1
8930,Sid Meier's Civilization V,11670.0,1
281990,Stellaris,11389.0,1
377160,Fallout 4,11355.0,1
216150,MapleStory,11352.0,1
629520,Soundpad,11246.0,1
227300,Euro Truck Simulator 2,10959.0,1
582010,Monster Hunter: World,10520.0,1
242760,The Forest,10378.0,1
457140,Oxygen Not Included,10091.0,1
306130,The Elder Scrolls Online,9998.0,1
594650,Hunt: Showdown 1896,9352.0,1
529340,Victoria 3,9172.0,1
236850,Europa Universalis IV,9146.0,1
292030,The Witcher 3: Wild Hunt,8901.0,1
270880,American Truck Simulator,8681.0,1
286160,Tabletop Simulator,8532.0,1
275850,No Man's Sky,8398.0,1
367520,Hollow Knight,8278.0,1
107410,Arma 3,7971.0,1
393380,Squad,7755.0,1
365670,Blender,7593.0,1
255710,Cities: Skylines,7570.0,1
648800,Raft,7344.0,1
632360,Risk of Rain 2,7222.0,1
244210,Assetto Corsa,7082.0,1
397540,Borderlands 3,6722.0,1
548430,Deep Rock Galactic,6305.0,1
311210,Call of Duty: Black Ops III,5908.0,1
239140,Dying Light,5642.0,1
376210,The Isle,5461.0,1
552990,World of Warships,5421.0,1
613100,House Flipper,5409.0,1
49520,Borderlands 2,5302.0,1
544810,KARDS - The WWII Card Game,5141.0,1
714010,Aimlabs,5125.0,1
10,Counter-Strike,5007.0,1
431730,Aseprite,4773.0,1
232090,Killing Floor 2,4719.0,1
700330,SCP: Secret Laboratory,4350.0,1
518790,theHunter: Call of the Wild™,4201.0,1
22380,Fallout: New Vegas,4027.0,1
440900,Conan Exiles,3969.0,1
233860,Kenshi,3910.0,1
374320,DARK SOULS™ III,3851.0,1
391540,Undertale,3728.0,1
534380,Dying Light 2: Reloaded Edition,3710.0,1
220200,Kerbal Space Program,3588.0,1
