appid,score,temp
374320,0.577096,0.0
374320,0.5735038,0.1
374320,0.58706844,0.2
374320,0.5813426,0.3
374320,0.55234295,0.4
374320,0.5429168,0.5
374320,0.5875565,0.6
374320,0.5730872,0.7
374320,0.5766643,0.8
374320,0.5761141,0.9
374320,0.5847408,1.0
413150,0.5168105,0.0
413150,0.44878086,0.1
413150,0.47110203,0.2
413150,0.40823996,0.3
413150,0.40646356,0.4
413150,0.422673,0.5
413150,0.4561823,0.6
413150,0.40206215,0.7
413150,0.46192738,0.8
413150,0.50923747,0.9
413150,0.4921384,1.0
294100,0.06365454,0.0
294100,0.15266693,0.1
294100,0.14816888,0.2
294100,0.34456438,0.3
294100,0.049819134,0.4
294100,0.11500594,0.5
294100,0.14247361,0.6
294100,0.11275575,0.7
294100,0.10411967,0.8
294100,0.074174084,0.9
294100,0.12531644,1.0
671860,0.3586325,0.0
671860,0.38040614,0.1
671860,0.4009947,0.2
671860,0.4058665,0.3
671860,0.4058665,0.4
671860,0.4461433,0.5
671860,0.35186037,0.6
671860,0.39688945,0.7
671860,0.39688945,0.8
671860,0.3935441,0.9
671860,0.4058665,1.0
47890,0.20669097,0.0
47890,0.20669097,0.1
47890,0.510484,0.2
47890,0.20669097,0.3
47890,0.20669097,0.4
47890,0.20669097,0.5
47890,0.20669097,0.6
47890,0.20669097,0.7
47890,0.20669097,0.8
47890,0.20669097,0.9
47890,0.33095688,1.0
582160,0.51647115,0.0
582160,0.5365386,0.1
582160,0.47144827,0.2
582160,0.4759098,0.3
582160,0.523635,0.4
582160,0.48467076,0.5
582160,0.39454198,0.6
582160,0.5344262,0.7
582160,0.48832852,0.8
582160,0.5304449,0.9
582160,0.465012,1.0
252490,0.45261443,0.0
252490,0.48719636,0.1
252490,0.48719636,0.2
252490,0.42159557,0.3
252490,0.46596938,0.4
252490,0.45585015,0.5
252490,0.39114052,0.6
252490,0.4723291,0.7
252490,0.4306804,0.8
252490,0.50363886,0.9
252490,0.49302188,1.0
391540,0.3724903,0.0
391540,0.39343438,0.1
391540,0.40558973,0.2
391540,0.31922597,0.3
391540,0.29429352,0.4
391540,0.3554678,0.5
391540,0.38705277,0.6
391540,0.35458684,0.7
391540,0.35212952,0.8
391540,0.31734776,0.9
391540,0.32105124,1.0
214950,0.36813635,0.0
214950,0.3975254,0.1
214950,0.35905117,0.2
214950,0.28907114,0.3
214950,0.45490503,0.4
214950,0.30269617,0.5
214950,0.39397264,0.6
214950,0.3544231,0.7
214950,0.35064095,0.8
214950,0.34550756,0.9
214950,0.34692204,1.0
292730,0.49926504,0.0
292730,0.4619066,0.1
292730,0.57058775,0.2
292730,0.44889367,0.3
292730,0.5489218,0.4
292730,0.52619964,0.5
292730,0.4403934,0.6
292730,0.49622375,0.7
292730,0.5560294,0.8
292730,0.50323695,0.9
292730,0.5045601,1.0
