appid,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
730,100,8,Very Positive,2065158,315474,2380632
570,100,8,Very Positive,699249,92354,791603
578080,100,5,Mixed,283362,148504,431866
252490,100,8,Very Positive,509838,78944,588782
359550,100,8,Very Positive,597622,118685,716307
431960,100,9,Overwhelmingly Positive,225177,4214,229391
413150,100,9,Overwhelmingly Positive,419519,4866,424385
218,0,0,No user reviews,0,0,0
381210,100,6,Mostly Positive,258497,65104,323601
440,100,8,Very Positive,627415,78538,705953
251570,100,8,Very Positive,150098,22746,172844
238960,100,8,Very Positive,121462,15627,137089
230410,100,8,Very Positive,249435,22768,272203
271590,100,8,Very Positive,523200,105142,628342
236390,100,6,Mostly Positive,201761,68269,270030
438100,100,6,Mostly Positive,116975,45809,162784
553850,100,8,Very Positive,617537,122617,740154
550,100,9,Overwhelmingly Positive,289224,7641,296865
480,0,0,No user reviews,0,0,0
221100,100,6,Mostly Positive,145215,53628,198843
105600,100,9,Overwhelmingly Positive,674574,16918,691492
289070,100,8,Very Positive,120569,22331,142900
394360,100,8,Very Positive,135430,13312,148742
294100,100,9,Overwhelmingly Positive,126421,2529,128950
322330,100,9,Overwhelmingly Positive,119308,5730,125038
108600,100,8,Very Positive,159986,10408,170394
322170,100,8,Very Positive,189981,13142,203123
346110,100,8,Very Positive,258531,63535,322066
218620,100,8,Very Positive,230853,33797,264650
252950,100,8,Very Positive,258584,40527,299111
261550,100,8,Very Positive,92424,13836,106260
39210,100,8,Very Positive,55261,7356,62617
4000,100,9,Overwhelmingly Positive,559865,17657,577522
250900,100,9,Overwhelmingly Positive,138783,4003,142786
513710,100,6,Mostly Positive,32744,11669,44413
489830,100,8,Very Positive,185675,16210,201885
582660,100,6,Mostly Positive,35011,14122,49133
526870,100,9,Overwhelmingly Positive,135683,3576,139259
646570,100,9,Overwhelmingly Positive,78861,1854,80715
240,100,9,Overwhelmingly Positive,60678,2506,63184
284160,100,9,Overwhelmingly Positive,179531,4400,183931
427520,100,9,Overwhelmingly Positive,131437,2394,133831
304930,100,8,Very Positive,198914,19938,218852
291550,100,6,Mostly Positive,132918,33362,166280
8930,100,9,Overwhelmingly Positive,121145,5647,126792
281990,100,8,Very Positive,86024,12728,98752
377160,100,8,Very Positive,197761,42364,240125
216150,100,5,Mixed,7635,4658,12293
629520,100,9,Overwhelmingly Positive,27504,1245,28749
227300,100,9,Overwhelmingly Positive,163753,4111,167864
582010,100,8,Very Positive,151527,13326,164853
242760,100,9,Overwhelmingly Positive,193938,9567,203505
457140,100,9,Overwhelmingly Positive,46633,1976,48609
306130,100,8,Very Positive,68034,15999,84033
594650,100,6,Mostly Positive,84833,27731,112564
529340,100,5,Mixed,17044,8275,25319
236850,100,8,Very Positive,58478,8676,67154
292030,100,9,Overwhelmingly Positive,235108,7690,242798
270880,100,9,Overwhelmingly Positive,95673,2790,98463
286160,100,9,Overwhelmingly Positive,43799,1671,45470
275850,100,8,Very Positive,167795,37876,205671
367520,100,9,Overwhelmingly Positive,150873,4618,155491
107410,100,8,Very Positive,122656,11609,134265
393380,100,8,Very Positive,88114,16351,104465
365670,100,9,Overwhelmingly Positive,33850,1303,35153
255710,100,8,Very Positive,114557,8780,123337
648800,100,8,Very Positive,133933,8915,142848
632360,100,8,Very Positive,205220,11581,216801
244210,100,8,Very Positive,62701,4676,67377
397540,100,8,Very Positive,59113,14388,73501
548430,100,9,Overwhelmingly Positive,198317,4643,202960
311210,100,8,Very Positive,134234,19895,154129
239140,100,8,Very Positive,118387,7058,125445
376210,100,6,Mostly Positive,42570,11654,54224
552990,100,8,Very Positive,37121,9051,46172
613100,100,8,Very Positive,45901,2751,48652
49520,100,8,Very Positive,156845,17672,174517
544810,100,8,Very Positive,8075,1757,9832
714010,100,8,Very Positive,57419,5114,62533
10,100,9,Overwhelmingly Positive,57951,1609,59560
431730,100,9,Overwhelmingly Positive,13723,113,13836
232090,100,8,Very Positive,53868,7836,61704
700330,100,8,Very Positive,81024,6509,87533
518790,100,8,Very Positive,59102,6927,66029
22380,100,9,Overwhelmingly Positive,175879,6737,182616
440900,100,6,Mostly Positive,41877,11162,53039
233860,100,9,Overwhelmingly Positive,47676,2425,50101
374320,100,8,Very Positive,149453,9666,159119
391540,100,9,Overwhelmingly Positive,156591,5701,162292
534380,100,6,Mostly Positive,62711,18176,80887
220200,100,9,Overwhelmingly Positive,83942,3985,87927
214950,100,8,Very Positive,38279,6870,45149
359320,100,6,Mostly Positive,50918,14863,65781
244850,100,8,Very Positive,75483,9273,84756
264710,100,9,Overwhelmingly Positive,174535,5765,180300
435150,100,9,Overwhelmingly Positive,85876,4008,89884
728880,100,8,Very Positive,16480,1069,17549
686810,100,8,Very Positive,67946,14775,82721
8500,100,6,Mostly Positive,15734,5832,21566
444200,100,6,Mostly Positive,17404,5802,23206
505460,100,8,Very Positive,23336,4928,28264
568220,100,8,Very Positive,10933,836,11769
268500,100,8,Very Positive,49536,8792,58328
262060,100,8,Very Positive,56546,5657,62203
380600,100,8,Very Positive,21216,4008,25224
219990,100,9,Overwhelmingly Positive,43806,2305,46111
627690,100,6,Mostly Positive,7145,2150,9295
48700,100,9,Overwhelmingly Positive,65829,1597,67426
304390,100,5,Mixed,52766,23363,76129
268910,100,9,Overwhelmingly Positive,64060,2600,66660
12210,100,8,Very Positive,57646,14223,71869
379430,100,8,Very Positive,62028,11970,73998
4700,100,9,Overwhelmingly Positive,19394,863,20257
655500,100,8,Very Positive,19820,1181,21001
570940,100,8,Very Positive,54958,4822,59780
602960,100,8,Very Positive,35069,1945,37014
3590,100,9,Overwhelmingly Positive,40846,789,41635
588650,100,9,Overwhelmingly Positive,46510,1717,48227
400750,100,8,Very Positive,8713,1587,10300
221380,100,9,Overwhelmingly Positive,42410,2120,44530
703080,100,8,Very Positive,41438,4033,45471
400040,100,9,Overwhelmingly Positive,2412,123,2535
361420,100,8,Very Positive,54598,4897,59495
371970,100,8,Very Positive,9009,769,9778
