,appid,image_keywords
0,10,"Counter Strike, guns, masks, shooters, video game"
1,10090,"soldier,gun,war,game,Call of Duty"
2,10150,"video game, Prototype, action, sci-fi, black and red, hoodie, sword"
3,10180,"Call of Duty, Modern Warfare 2, soldier, gun, explosion, war, game"
4,10500,"Total War, Empire, game, strategy, war, history, definitive edition"
5,105600,"pixel art,terraria,video game,gaming,characters,trees,forest,grass,2d art,game title screen"
6,1063730,"New World Aeternum, game, fantasy, adventure, video game, Aeternum, New World"
7,10680,"Aliens, Predator, movie, sci-fi, horror, action, monsters, creatures"
8,107410,"Arma 3, soldier, military, war, game, action, combat, tactical, shooter, video game, helicopter, warfare, operation, mission, armed forces, army"
9,1085660,"Destiny 2, logo, video game, sci-fi, fantasy, gaming"
10,108600,"zombies, survival, horror, video game, zombies apocalypse"
11,1086940,"Baldur's Gate 3, fantasy, characters, swords, adventure, role-playing game, RPG, video game, characters with swords"
12,108710,"video game, Alan Wake, gun, flashlight, thriller, action"
13,1091500,"cyberpunk, video game, futuristic, 2077"
14,109600,"Neverwinter,Red Harvest,fantasy,game,dungeons,dragons"
15,1097150,"colorful, cartoon, characters, game, Fall Guys"
16,11020,"racing,car,game,TrackMania Nations Forever,TMNF"
17,110800,"video game, L.A. Noire, detective, women, gun, noir, crime, investigation"
18,1116170,"cyberpunk, robot, gun, cityscape, futuristic, combat"
19,113200,"roguelike,video game,horror,cartoonish,monsters,The Binding of Isaac"
20,113400,"APB Reloaded, video game, characters, tattoos, guns"
21,115320,"video game, Prototype 2, action, adventure, sci-fi"
22,1172470,"Apex Legends, video game, anime art, guns, weapons"
23,1174180,"cowboy, gun, western, game, red, dead, redemption"
24,1203220,"Naraka Bladepoint, Persona 5 Royal, anime, video games, crossover"
25,12200,"video game, bullying, scholarship edition, bully"
26,12210,"Grand Theft Auto, GTA IV, Liberty City, video game, characters"
27,1222670,"The Sims 4, video game, simulation, cartoon characters, diverse people"
28,1238810,"battlefield,game,video game,war,action"
29,1240440,"Halo, video game, multiplayer, armor, explosion, fire, sparks"
30,1245620,"Elden Ring, game, fantasy, ring, dark, mystical"
31,1250,"horror, zombies, survival, game, killing floor"
32,1326470,"survival,game,horror,video game,sons of the forest"
33,1491000,"robots,war,frontiers,lightning,mechs,futuristic,battlefield"
34,15100,"assassin's creed, video game, action, adventure, stealth"
35,15170,"Might and Magic Heroes V, fantasy, game, armor, knight, dragons"
36,1517290,"battlefield, war, soldiers, guns, action, fighting, video game, battle, destruction, chaos"
37,15370,"Might and Magic, Heroes V, video game, fantasy, battle, warriors, strategy"
38,15620,"Warhammer, Dawn of War, Anniversary Edition, video game, futuristic armor"
39,1599340,"video game, Lost Ark, characters, fantasy, action, adventure, RPG, characters posing"
40,1623730,"Palworld, creatures, fantasy, adventure, creatures, guns, battle, game, monsters, characters"
41,1665460,"eFootball, football, soccer, Lionel Messi, video game"
42,16700,"war,castle,crusade,knight,medieval,battle,game,stronghold"
43,16810,"Civilization IV Colonization, Sid Meier, game, colonization, soldiers, historical"
44,16900,"tactical,gun,video game,Ground Branch,rifle"
45,17390,"Spore, video game, creatures, space, sci-fi, fantasy"
46,17470,"horror, sci-fi, video game, Dead Space, space, zombies, necromorphs"
47,17480,"command and conquer, red alert 3, video game, woman, gun, robots, futuristic"
48,1811260,"FIFA 23, women's soccer, video game, Sam Kerr, Australia, New Zealand"
49,1840,"video editing software, filmmaking, source filmmaker"
50,18500,"robots,war,futuristic,game cover,Defense Grid,PC Gamer"
51,1938090,"soldier, gun, Call of Duty, video game, action, war, military, tactical, combat"
52,1966720,"lethal company, red, glitch art, distorted text, error, corrupted data"
53,19680,"dark,violent,alice,madness,returns,bloody,knife,game"
54,19900,"action,game,violence,explosion,warfare"
55,20,"game,Team Fortress,action,gun,video game"
56,200170,"Worms, Revolution, game, cartoon, level editor"
57,200210,"gaming, fantasy, knight, armor, game title"
58,200260,"Batman, Arkham City, Game of the Year Edition, video game, superhero"
59,200510,"sci-fi,video game,blue tone,futuristic,armed soldiers"
60,200710,"action,game,video game,torchlight,torchlight II,fantasy,role-playing game,RPG,diablo-like,ARPG,character,armor,fire,flames,logo,title screen,header"
61,201230,"EverQuest, video game, dragon, fantasy, free to play"
62,201810,"wolfenstein, video game, soldier, guns, nazis"
63,201870,"Assassin's Creed Revelations, video game, hooded figures, action, adventure"
64,202970,"Call of Duty, Black Ops II, gun, soldier, black and white, video game"
65,203140,"Hitman, video game, action, stealth, assassin, red, suit, gun"
66,203160,"Tomb Raider, Lara Croft, action, adventure, video game"
67,203290,"America's Army, soldier, military, game, proving grounds"
68,203770,"game, Crusader Kings II, free to play"
69,204100,"action,violence,game,Max Payne 3,shooter,thriller"
70,204300,"video game, cartoon, characters, awesomenauts"
71,204360,"video games, cartoon characters, side-scrolling beat-em-up, Castle Crashers"
72,204450,"cowboy, gunslinger, western, Call of Juarez, video game"
73,204880,"sci-fi,space,rebellion,futuristic,game"
74,205100,"stealth, action, video game, Dishonored, assassin, fantasy"
75,205710,"fantasy,game,video game,everquest,female warrior,gold lettering"
76,206420,"action,video game,violence,comedy,aliens,gun,shooting,explosion"
77,206440,"video game, moon, adventure, dog, man"
78,206480,"Dungeons & Dragons, zombies, fantasy, adventure, horror, gaming"
79,207140,"video games, cartoon characters, SpeedRunners, advertisement"
80,207610,"zombies,video game,post-apocalypse,horror,action,adventure,Telltale"
81,208580,"Star Wars, Knights of the Old Republic, Sith Lords, video game, sci-fi, action"
82,208650,"Batman,Arkham Knight,video game,action,adventure,DC Comics,superhero,fantasy"
83,20900,"action,video game,violence,fantasy,fighting,The Witcher"
84,209000,"Batman, Arkham Origins, video game, superhero"
85,209160,"Call of Duty, Ghosts, video game, action, shooter, soldier, mask, gloves"
86,20920,"gaming, fantasy, sword, The Witcher 2, action, adventure"
87,21000,"Lego,Batman,Robbin,videogame,game"
88,21090,"F.E.A.R., video game, horror, woman, fire"
89,210970,"puzzle,game,island,mystery"
90,21130,"Lego, Harry Potter, video game, wands, Hogwarts"
91,211500,"racing cars, raceroom, race cars, game, video game, racing game"
92,211820,"space,game,planets,sun,starbound"
93,212160,"game,advertisement,summer,vacation,beach,boost"
94,212200,"anime, video game, characters, Guild Renewal, 2025"
95,212480,"Sonic, racing, transformed, collection, video game, car, jet, boat"
96,212500,"warriors, battle, Lord of the Rings, swords, archers, fantasy, monsters"
97,212680,"space, planet, FTL, stars, galaxy"
98,212910,"Call of Duty, Black Ops II, Zombies, video game, gaming"
99,213330,"LEGO, Batman, Superheroes, DC, videogame"
100,213610,"Sonic,Shadow,adventure,gaming,videogames,characters,animation"
101,213670,"South Park, video game, The Stick of Truth, cartoon, fantasy"
102,214490,"Alien, Isolation, horror, sci-fi, video game"
103,214510,"Lego, Lord of the Rings, fantasy, adventure, characters, swords, bows"
104,214730,"space rangers, video game, HD, sci-fi, futuristic, robot, war, action, adventure"
105,214950,"Total War Rome II, Roman soldier, video game, strategy game, ancient Rome, Emperor Edition"
106,215080,"anime,elf,boy,fantasy,video game"
107,215100,"Ragnarok, anime, characters, video game, fantasy, characters, online game"
108,216150,"concert,stage,MapleStory,STARGazer,music,festival,characters,cartoon"
109,21690,"Resident Evil, horror, video game, logo, fire, red, orange"
110,217200,"Worms, Armageddon, video game, cartoon, nuclear, explosion"
111,218230,"Planetside 2, anniversary, video game, action, sci-fi, battle, robots, guns, futuristic"
112,218620,"video game, Payday 2, heist, robbery, crime, action, thriller, masked men"
113,2186680,"Warhammer, Rogue Trader, sci-fi, fantasy, video game"
114,219150,"video game,Hotline Miami,violence,action,Miami,retro art"
115,219740,"gaming,adventure,video game,DLC,Hamlet,Don't Starve"
116,219990,"action, adventure, Grim Dawn, dark, fantasy, video game, RPG, dark fantasy"
117,220,"gaming, Half-Life, video game characters, sci-fi"
118,220200,"space, Kerbals, astronauts, cartoon, Kerbal Space Program"
119,220240,"far cry 3, video game, action, adventure, tropical island"
120,220440,"action,video game,devil may cry,dmc"
121,220700,"RPG Maker, anime, game, characters, fantasy"
122,221040,"horror,video game,resident evil,virus,parasite"
123,221100,"DayZ,post-apocalyptic,warfare,survival,video game"
124,221380,"game, medieval, castle, knight, strategy, war, medieval era, black and white, Age of Empires III"
125,221680,"guitar, Rocksmith, video game, music, electric guitar"
126,222440,"fighting game, KOF 2002, anime characters, video game cover, King of Fighters"
127,222480,"horror, video game, Resident Evil, Revelations"
128,222880,"insurgency, soldiers, guns, masks, warfare"
129,22320,"The Elder Scrolls III: Morrowind, game, fantasy, video game, Morrowind, Game of the Year Edition"
